[Thu Jan 30 16:02:21 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:22 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
[Thu Jan 30 16:02:23 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:02:25 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:25 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:26 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:26 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:28 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:29 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:29 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:30 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:30 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:30 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:31 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:31 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:32 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:32 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:33 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:33 2025] src/display/display_utils.c:180 - Input 'w' written to the pipe
[Thu Jan 30 16:02:34 2025] src/display/display_utils.c:180 - Input 'a' written to the pipe
[Thu Jan 30 16:02:40 2025] src/display/display_utils.c:180 - Input 'x' written to the pipe
